PVS,dataset,Resolution,Framerate,bitrate,video_codec,quant,mean_qp,p1204_3_score
rts_01_1920x1080_60_yuv420p.yuv_AV1_2M,lofps_4K_testnum_013,2073600,60,2.0,AV1,0.4358030733091905,111.1297836938436,4.021311917130628
rts_01_3840x2160_30_yuv420p.yuv_AV1_0.3M,lofps_4k_testnum_005,8294400,30,0.3,AV1,0.9155485605613484,233.4648829431438,3.2714675195377256
rts_01_3840x2160_30_yuv420p.yuv_AV1_0.5M,lofps_4k_testnum_005,8294400,30,0.5,AV1,0.8443176601744377,215.3010033444816,3.553248857942142
rts_01_3840x2160_30_yuv420p.yuv_AV1_2M,lofps_4K_testnum_013,8294400,30,2.0,AV1,0.6263886156469277,159.72909698996656,4.097409786886786
rts_01_3840x2160_30_yuv420p.yuv_AV1_5M,lofps_4k_testnum_009,8294400,30,5.0,AV1,0.4530264279624893,115.52173913043478,4.321869869296567
rts_01_3840x2160_60_yuv420p.yuv_AV1_1M,lofps_4k_testnum_010,8294400,60,1.0,AV1,0.7936862745098039,202.39,3.7167073281832543
racing_02_1280x720_120_yuv420p.yuv_AV1_1.5M,hifps_120_testnum_003,921600,120,1.5,AV1,0.8197338243369836,209.0321252059308,2.637145878943282
racing_02_1280x720_120_yuv420p.yuv_AV1_10M,hifps_120_testnum_000,921600,120,10.0,AV1,0.5519623994573118,140.7504118616145,3.276328356753244
racing_02_1280x720_30_yuv420p.yuv_AV1_0.3M,lofps_4k_testnum_005,921600,30,0.3,AV1,0.9436145510835912,240.62171052631572,2.1545099394215548
racing_02_1280x720_30_yuv420p.yuv_AV1_3M,lofps_4k_testnum_007,921600,30,3.0,AV1,0.6108617131062951,155.76973684210526,3.173012009323229
racing_02_1280x720_60_yuv420p.yuv_AV1_0.5M,lofps_4k_testnum_010,921600,60,0.5,AV1,0.9212843621797976,234.9275123558484,2.252141517556387
racing_02_1280x720_60_yuv420p.yuv_AV1_1M,lofps_4k_testnum_011,921600,60,1.0,AV1,0.8328972445650418,212.3887973640857,2.5924726300066245
racing_02_1280x720_60_yuv420p.yuv_AV1_2M,lofps_4k_testnum_011,921600,60,2.0,AV1,0.7307426430209646,186.339373970346,2.902427791902244
racing_02_1280x720_60_yuv420p.yuv_AV1_5M,lofps_4K_testnum_014,921600,60,5.0,AV1,0.5933456084245889,151.30313014827018,3.2055533744051323
